branch,move,result,source,rst7,SerO-C,C-Oleave,SerH-SerO,SerH-His,SerH-Oleave,His-Oleave
rank022_as_attempt021_tetint_seed_rep1_f010,0,fwd/bwd,/Dell/Dell14/bianht/petase_blind_qmmm/repo/project01/phase2_blind_petase_qmmm_20260630/blind_work/05_atesa_acylation/rank022_as_attempt021_tetint_seed_rep1_f010/work/seed_rep1_f010.rst7,/Dell/Dell14/bianht/petase_blind_qmmm/repo/project01/phase2_blind_petase_qmmm_20260630/blind_work/05_atesa_acylation/rank022_as_attempt021_tetint_seed_rep1_f010/accepted_ts_candidates/accepted_move0_fwd_bwd_seed_rep1_f010.rst7,2.046018362045288,2.0545644760131836,1.0449514389038086,1.7072148323059082,2.5249884128570557,3.5294947624206543
rank022_as_attempt021_tetint_seed_rep1_f010,1,bwd/fwd,/Dell/Dell14/bianht/petase_blind_qmmm/repo/project01/phase2_blind_petase_qmmm_20260630/blind_work/05_atesa_acylation/rank022_as_attempt021_tetint_seed_rep1_f010/work/seed_rep1_f010.rst7_0_fwd.nc_frame_10.rst7,/Dell/Dell14/bianht/petase_blind_qmmm/repo/project01/phase2_blind_petase_qmmm_20260630/blind_work/05_atesa_acylation/rank022_as_attempt021_tetint_seed_rep1_f010/accepted_ts_candidates/accepted_move1_bwd_fwd_seed_rep1_f010.rst7_0_fwd.nc_frame_10.rst7,1.988877773284912,1.9756760597229004,1.0479172468185425,1.5806431770324707,2.7632248401641846,3.5266942977905273
rank022_as_attempt021_tetint_seed_rep1_f010,2,bwd/fwd,/Dell/Dell14/bianht/petase_blind_qmmm/repo/project01/phase2_blind_petase_qmmm_20260630/blind_work/05_atesa_acylation/rank022_as_attempt021_tetint_seed_rep1_f010/work/seed_rep1_f010.rst7_1_bwd.nc_frame_3.rst7,/Dell/Dell14/bianht/petase_blind_qmmm/repo/project01/phase2_blind_petase_qmmm_20260630/blind_work/05_atesa_acylation/rank022_as_attempt021_tetint_seed_rep1_f010/accepted_ts_candidates/accepted_move2_bwd_fwd_seed_rep1_f010.rst7_1_bwd.nc_frame_3.rst7,2.0133020877838135,1.9328237771987915,0.9944260120391846,1.5751304626464844,2.735663652420044,3.4966039657592773
rank022_as_attempt021_tetint_seed_rep3_f004,3,fwd/bwd,/Dell/Dell14/bianht/petase_blind_qmmm/repo/project01/phase2_blind_petase_qmmm_20260630/blind_work/05_atesa_acylation/rank022_as_attempt021_tetint_seed_rep3_f004/work/seed_rep3_f004.rst7,/Dell/Dell14/bianht/petase_blind_qmmm/repo/project01/phase2_blind_petase_qmmm_20260630/blind_work/05_atesa_acylation/rank022_as_attempt021_tetint_seed_rep3_f004/accepted_ts_candidates/accepted_move3_fwd_bwd_seed_rep3_f004.rst7,2.037623167037964,2.051967144012451,1.044180989265442,1.73751962184906,2.3939225673675537,3.555082321166992
rank022_as_attempt021_tetint_seed_rep7_f003,3,bwd/fwd,/Dell/Dell14/bianht/petase_blind_qmmm/repo/project01/phase2_blind_petase_qmmm_20260630/blind_work/05_atesa_acylation/rank022_as_attempt021_tetint_seed_rep7_f003/work/seed_rep7_f003.rst7,/Dell/Dell14/bianht/petase_blind_qmmm/repo/project01/phase2_blind_petase_qmmm_20260630/blind_work/05_atesa_acylation/rank022_as_attempt021_tetint_seed_rep7_f003/accepted_ts_candidates/accepted_move3_bwd_fwd_seed_rep7_f003.rst7,2.016610622406006,2.0433261394500732,0.968025803565979,1.812377691268921,2.418074131011963,3.5708067417144775
