short_id,ensemble_candidate_id,source_outcome,source_frame,ensemble_keep,max_core_delta,initial_SerO-C,relaxed_SerO-C,delta_SerO-C,initial_C-Oleave,relaxed_C-Oleave,delta_C-Oleave,initial_SerH-SerO,relaxed_SerH-SerO,delta_SerH-SerO,initial_SerH-His,relaxed_SerH-His,delta_SerH-His,initial_SerH-Oleave,relaxed_SerH-Oleave,delta_SerH-Oleave,initial_His-Oleave,relaxed_His-Oleave,delta_His-Oleave
n00,acyl_ts_neighbor00_refined02_micro_relax_5cyc_rep1_1500step_f003,tetint_basin,3,True,0.0036194324,1.9772834,1.9761333,-0.001150012,1.8582935,1.8599342,0.0016406775,1.0621685,1.0643475,0.0021790266,1.4134202,1.4170396,0.0036194324,2.706409,2.7074647,0.0010557175,3.5627236,3.564154,0.001430273
n01,acyl_ts_neighbor01_refined02_micro_relax_5cyc_rep8_1500step_f014,tetint_basin,14,True,0.0017521381,2.0842352,2.084099,-0.00013613701,1.8425002,1.8425946,9.441376e-05,1.1474888,1.149241,0.0017521381,1.4183304,1.4171499,-0.0011805296,3.0454805,3.0447721,-0.0007083416,3.8594177,3.857962,-0.0014557838
n02,acyl_ts_neighbor02_refined02_micro_relax_5cyc_rep7_1500step_f008,reactant_basin,8,True,0.0072944164,2.0901575,2.0912642,0.001106739,1.844569,1.8435746,-0.0009943247,1.047181,1.0471342,-4.684925e-05,1.5148495,1.522144,0.0072944164,2.8049362,2.8037853,-0.0011508465,3.6673756,3.6713245,0.003948927
n03,acyl_ts_neighbor03_refined02_micro_relax_5cyc_rep4_1500step_f021,reactant_basin,21,True,0.00025057793,2.1466203,2.1466517,3.1471252e-05,1.8421795,1.8421838,4.2915344e-06,1.0441034,1.0438601,-0.00024330616,1.6409943,1.6412449,0.00025057793,2.7013338,2.7013469,1.3113022e-05,3.558991,3.5590527,6.175041e-05
n04,acyl_ts_neighbor04_refined02_micro_relax_5cyc_rep3_1500step_f009,none,9,True,0.0010939837,2.0310469,2.0313935,0.0003466606,1.8614874,1.861068,-0.00041937828,1.1352838,1.1341898,-0.0010939837,1.4506437,1.4515812,0.00093758106,2.8606,2.8600242,-0.00057578087,3.7645288,3.7638502,-0.0006785393
