traj,frame,time_ps,outcome,first_frame,state,score,SerO-C,C-Oleave,SerH-SerO,SerH-His,SerH-Oleave,His-Oleave
refined02_micro_relax_5cyc_rep3_1500step.nc,9,0.018000000000000002,none,,early_region,0.0008883072274959805,2.0310468673706055,1.8614873886108398,1.1352838277816772,1.4506436586380005,2.860599994659424,3.764528751373291
refined02_micro_relax_5cyc_rep3_1500step.nc,4,0.008,none,,early_region,0.0011833751745248026,2.053380012512207,1.8544697761535645,1.0803009271621704,1.4230685234069824,2.8570966720581055,3.6480846405029297
refined02_micro_relax_5cyc_rep3_1500step.nc,8,0.016,none,,early_region,0.0019191063205019929,2.0322749614715576,1.8619054555892944,1.1464564800262451,1.4101983308792114,2.8837320804595947,3.7366888523101807
refined02_micro_relax_5cyc_rep3_1500step.nc,5,0.01,none,,early_region,0.0019644173545699264,2.0459418296813965,1.857214093208313,1.1114157438278198,1.391523838043213,2.895545482635498,3.6661763191223145
refined02_micro_relax_5cyc_rep3_1500step.nc,3,0.006,none,,early_region,0.002455450860306001,2.0607824325561523,1.8518239259719849,1.0504286289215088,1.461618423461914,2.8078854084014893,3.6353280544281006
refined02_micro_relax_5cyc_rep3_1500step.nc,10,0.02,none,,early_region,0.002463675573510647,2.0312771797180176,1.8587427139282227,1.1021158695220947,1.5083229541778564,2.844480037689209,3.789217233657837
refined02_micro_relax_5cyc_rep3_1500step.nc,6,0.012,none,,early_region,0.003066332609653767,2.040909767150879,1.8589144945144653,1.1328823566436768,1.3781671524047852,2.9110214710235596,3.687178134918213
refined02_micro_relax_5cyc_rep3_1500step.nc,7,0.014,none,,early_region,0.0032175698090946814,2.0363504886627197,1.8606709241867065,1.1466269493103027,1.3827711343765259,2.9048702716827393,3.710103988647461
refined02_micro_relax_5cyc_rep3_1500step.nc,2,0.004,none,,early_region,0.00430596733604116,2.065006732940674,1.8499329090118408,1.0363173484802246,1.4905951023101807,2.749701738357544,3.621385335922241
refined02_micro_relax_5cyc_rep3_1500step.nc,11,0.022,none,,early_region,0.011887852677971152,2.03355073928833,1.8534408807754517,1.0450642108917236,1.582642912864685,2.840447187423706,3.809480667114258
refined02_micro_relax_5cyc_rep3_1500step.nc,15,0.03,none,,early_region,0.015736666925215182,2.06339693069458,1.8204087018966675,1.0720313787460327,1.6171436309814453,2.915891170501709,3.832249879837036
refined02_micro_relax_5cyc_rep3_1500step.nc,16,0.032,none,,early_region,0.017672019215307175,2.0804569721221924,1.8175122737884521,1.0773234367370605,1.625504970550537,2.93705415725708,3.833465576171875
refined02_micro_relax_5cyc_rep3_1500step.nc,14,0.028,none,,early_region,0.023754429414607637,2.0510432720184326,1.8258394002914429,1.0265415906906128,1.6457993984222412,2.8886613845825195,3.8318121433258057
refined02_micro_relax_5cyc_rep1_1500step.nc,3,0.006,tetint_basin,13,early_region,0.02646686474534647,1.9772833585739136,1.8582935333251953,1.0621684789657593,1.4134202003479004,2.706408977508545,3.5627236366271973
refined02_micro_relax_5cyc_rep1_1500step.nc,2,0.004,tetint_basin,13,early_region,0.02684678398150435,2.0030510425567627,1.8517961502075195,1.0398436784744263,1.4522786140441895,2.6800668239593506,3.5647823810577393
refined02_micro_relax_5cyc_rep3_1500step.nc,12,0.024,none,,early_region,0.02930361929642427,2.0365676879882812,1.8450825214385986,0.9874882698059082,1.6525325775146484,2.8459911346435547,3.823514938354492
refined02_micro_relax_5cyc_rep1_1500step.nc,4,0.008,tetint_basin,13,early_region,0.030564419191807714,1.949843168258667,1.868666410446167,1.1055107116699219,1.3616873025894165,2.7397897243499756,3.5606441497802734
refined02_micro_relax_5cyc_rep3_1500step.nc,17,0.034,none,,early_region,0.03199103869956105,2.103123426437378,1.817535161972046,1.0362334251403809,1.676041841506958,2.942493438720703,3.834245443344116
refined02_micro_relax_5cyc_rep3_1500step.nc,13,0.026000000000000002,none,,early_region,0.03455510852669785,2.0426387786865234,1.8354390859603882,0.9810851812362671,1.6734153032302856,2.864021062850952,3.8309578895568848
refined02_micro_relax_5cyc_rep1_1500step.nc,5,0.01,tetint_basin,13,early_region,0.040514131349195875,1.9245264530181885,1.8827159404754639,1.157346248626709,1.31279456615448,2.7687735557556152,3.560236692428589
refined02_micro_relax_5cyc_rep8_1500step.nc,14,0.028,tetint_basin,33,early_region,0.04682440126283168,2.084235191345215,1.8425002098083496,1.1474888324737549,1.418330430984497,3.045480489730835,3.859417676925659
